category,algorithm,language,run,status,time_s,energy_j,dynamic_energy_j,power_w,idle_power_w,domain,energy_path,exit_code
memory_intensive_and_allocation_heavy,crc_32,rust,1,OK,0.004861785,0.013057189,0.000532258,2.685678,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,2,OK,0.002699745,0.00721499,0.000259907,2.672471,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,3,OK,0.002669152,0.007144343,0.000268074,2.676634,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,4,OK,0.002689264,0.007945096,0.001017014,2.954376,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,5,OK,0.00271993,0.007338198,0.000331114,2.697936,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,6,OK,0.002207837,0.006011701,0.000323871,2.722892,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,7,OK,0.002637004,0.007111786,0.000318336,2.696919,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,8,OK,0.002734468,0.007329413,0.000284877,2.68038,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,9,OK,0.002702023,0.007256222,0.00029527,2.685478,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,rust,10,OK,0.002233522,0.00600725,0.000253251,2.689586,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,go,1,OK,0.002463615,0.006604746,0.000257981,2.680916,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,go,2,OK,0.002523152,0.006762481,0.000262337,2.680172,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
memory_intensive_and_allocation_heavy,crc_32,go,3,OK,0.002952708,0.007957772,0.000351006,2.695076,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
