category,algorithm,language,run,status,time_s,energy_j,dynamic_energy_j,power_w,idle_power_w,domain,energy_path,exit_code
string_and_text_processing,sha1_pure_implementation,c,1,OK,0.01015701,0.33319,0.270527343,32.803945,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,2,OK,0.01030399,0.379759,0.316189564,36.855529,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,3,OK,0.010536538,0.358459,0.293454882,34.020567,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,4,OK,0.010285715,0.338805,0.27534831,32.939373,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,5,OK,0.010387657,0.364013,0.299927389,35.04284,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,6,OK,0.010044399,0.349243,0.287275085,34.769925,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,7,OK,0.009923207,0.369933,0.308712767,37.279581,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,8,OK,0.010891677,0.381957,0.314761888,35.068704,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,9,OK,0.009984472,0.365478,0.303879798,36.60464,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,c,10,OK,0.010267029,0.356932,0.293590591,34.764877,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,1,OK,0.009043664,0.343017,0.287223019,37.928985,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,2,OK,0.008299072,0.341918,0.290717705,41.199546,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,3,OK,0.008949244,0.366577,0.311365534,40.961784,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,4,OK,0.008936133,0.342772,0.287641421,38.357979,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,5,OK,0.009053648,0.352599,0.296743424,38.945517,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,6,OK,0.009287204,0.366149,0.308852524,39.425106,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,7,OK,0.013182538,0.388182,0.30685365,29.446682,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,8,OK,0.008596585,0.366576,0.313540229,42.642049,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,9,OK,0.013705544,0.406066,0.321511017,29.627864,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,go,10,OK,0.008880186,0.344421,0.28963558,38.785336,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,1,OK,0.007063497,0.287048,0.243470462,40.638228,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,2,OK,0.00689132,0.312499,0.26998369,45.346755,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,3,OK,0.007081624,0.32196,0.278270629,45.464148,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,4,OK,0.006840394,0.315002,0.272800873,46.050271,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,5,OK,0.006900959,0.288268,0.245693224,41.772165,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,6,OK,0.006929081,0.283325,0.240576728,40.889261,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,7,OK,0.007056549,0.290038,0.246503327,41.101961,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,8,OK,0.006649415,0.290954,0.249931099,43.75633,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,9,OK,0.006740918,0.298095,0.25650758,44.221722,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,rust,10,OK,0.006587283,0.275146,0.234506416,41.76927,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,1,OK,0.011115598,0.39331,0.32473343,35.383611,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,2,OK,0.011053127,0.365233,0.297041838,33.043409,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,3,OK,0.010946865,0.36859,0.301054411,33.670827,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,4,OK,0.010778663,0.417418,0.350920116,38.726324,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,5,OK,0.011491943,0.381163,0.310264607,33.167846,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,sha1_pure_implementation,cpp,6,OK,0.011071818,0.371336,0.303029526,33.538846,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
